,Unnamed: 0,Kommune,Bundesland,Haushalte mit niedrigem Einkommen (%),GKZ,Allgemeine Deckungsmittel (Euro je Einwohner:in),ARS,Anteil ab 65-Jährige (%),Langzeitarbeitslosenquote (%),Verschuldung im Kernhaushalt (Euro je Einwohner:in),Verwaltungstyp,socioeconomic_vulnerability_index,ags,starkregentage_jetzt,starkregentage_zukunft,trockentage_jetzt,trockentage_zukunft,tropennächte_jetzt,tropennächte_zukunft,heiße_tage_jetzt,heiße_tage_zukunft,schwüle_tage_jetzt,schwüle_tage_zukunft,climate_vulnerability_index
340,340,Ingolstadt,Bayern,38.5,9161000,1.977,91610000000,18.7,1.3,0.0,kreisfreie Stadt,1.963307710523967,9161000,4.4,1.0,56.6,2.5,0.0,1.1,4.8,5.4,3.0,13.6,2.6759204431397747
341,341,Jena,Th�ringen,48.1,16053000,2.076,160530000000,21.9,2.9,58.0,kreisfreie Stadt,2.4420992803745563,16053000,3.1,0.7,61.2,1.3,0.0,1.4,5.3,3.7,2.7,11.1,1.9743830815684595
342,342,Kaiserslautern,Rheinland-Pfalz,46.1,7312000,2.528,73120000000,20.8,4.7,7.677,kreisfreie Stadt,2.4251838989326697,7312000,3.6,0.8,61.9,2.7,0.1,2.0,6.0,5.7,4.1,11.8,2.740393458732819
343,343,Karlsruhe,Baden-Württemberg,46.4,8212000,2.661,82120000000,19.1,2.2,1.518,kreisfreie Stadt,2.070654194092349,8212000,4.5,1.0,60.4,2.6,0.4,4.5,10.5,8.5,9.6,15.1,3.812004186982139
344,344,Kassel,Hessen,51.4,6611000,2.828,66110000000,19.9,3.7,2.572,kreisfreie Stadt,2.313470507118214,6611000,4.1,1.0,58.7,2.3,0.0,0.7,2.9,2.5,2.1,9.4,1.966536689638374
345,345,Kaufbeuren,Bayern,44.6,9762000,1.803,97620000000,22.7,1.8,633.0,kreisfreie Stadt,2.923553457496601,9762000,13.3,1.7,47.6,2.7,0.0,0.3,1.1,1.9,0.4,6.6,2.05205905450636
346,346,Kempten (Allg�u),Bayern,43.6,9763000,2.083,97630000000,22.5,1.2,11.0,kreisfreie Stadt,2.144592277916755,9763000,23.0,2.3,44.7,3.1,0.0,0.2,0.7,1.2,0.1,3.1,2.099765768376316
347,347,Kiel,Schleswig-Holstein,51.1,1002000,2.421,10020000000,19.0,4.6,2.25,kreisfreie Stadt,2.4659258515137865,1002000,3.1,0.9,58.2,1.5,0.1,0.5,1.7,0.9,2.9,8.3,1.4439823155649067
348,348,Koblenz,Rheinland-Pfalz,45.6,7111000,2.528,71110000000,22.1,3.1,3.329,kreisfreie Stadt,2.2749265025058887,7111000,4.2,1.1,59.5,2.9,0.0,1.1,4.8,3.1,3.5,10.5,2.365745173631672
349,349,K�ln,Nordrhein-Westfalen,47.0,5315000,2.827,53150000000,17.7,5.7,2.044,kreisfreie Stadt,2.38951703128952,5315000,3.3,1.1,57.9,3.0,0.7,2.9,7.5,4.9,6.7,11.8,3.026773378016874
